City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,20.43,77,20,2.57,PT,1683983625
1,talnakh,69.4865,88.3972,-9.33,90,100,5.08,RU,1683983625
2,isafjordur,66.0755,-23.124,8.02,66,75,3.09,IS,1683983625
3,maumere,-8.6199,122.2111,24.71,76,65,3.51,ID,1683983625
4,ushuaia,-54.8,-68.3,6.81,57,20,3.6,AR,1683983499
5,anadyr,64.75,177.4833,0.28,93,75,6.0,RU,1683983626
6,menominee,45.1078,-87.6143,15.27,55,20,7.2,US,1683983626
7,rongelap,11.1635,166.8941,27.54,81,16,7.68,MH,1683983626
8,samarinda,-0.5,117.15,24.0,98,32,0.89,ID,1683982819
9,port-aux-francais,-49.35,70.2167,3.8,64,65,5.9,TF,1683983627
10,salamanca,40.8333,-6.0,16.11,26,0,5.52,ES,1683983627
11,grytviken,-54.2811,-36.5092,-0.43,83,93,4.4,GS,1683983627
12,waitangi,-43.9535,-176.5597,11.09,62,100,6.4,NZ,1683983627
13,avarua,-21.2078,-159.775,26.03,83,75,8.23,CK,1683983628
14,mogocha,53.7333,119.7667,6.41,76,100,1.89,RU,1683983628
15,stanley,54.868,-1.6985,16.27,65,0,3.6,GB,1683983628
16,gao,16.6362,1.637,40.92,16,59,3.67,ML,1683983629
17,rehoboth,-23.3167,17.0833,28.14,16,90,7.48,NA,1683983408
18,kone,-21.0595,164.8658,22.36,82,100,2.43,NC,1683983629
19,longyearbyen,78.2186,15.6401,0.91,86,75,1.54,SJ,1683983534
20,san pedro pochutla,15.7333,-96.4667,24.84,68,4,1.77,MX,1683983630
21,mirador,-6.3708,-44.3631,31.42,55,86,0.79,BR,1683983630
22,yellowknife,62.456,-114.3525,11.27,58,100,2.67,CA,1683983630
23,selfoss,63.9331,-20.9971,7.25,71,100,4.85,IS,1683983630
24,karymskoye,51.6167,114.35,9.34,41,55,5.83,RU,1683983631
25,college,64.8569,-147.8028,7.55,73,40,3.6,US,1683983631
26,al jawf,29.5,38.75,30.42,13,0,4.33,SA,1683983631
27,la manga del mar menor,37.6413,-0.7165,23.0,59,20,7.6,ES,1683983632
28,carbonear,47.7332,-53.2148,12.91,46,11,4.41,CA,1683983632
29,vorgashor,67.5833,63.95,-1.45,87,99,7.45,RU,1683983633
30,puerto baquerizo moreno,-0.9,-89.6,25.55,94,75,4.63,EC,1683983633
31,invercargill,-46.4,168.35,8.34,95,85,1.34,NZ,1683983438
32,bouca,6.5105,18.2733,37.88,30,99,2.7,CF,1683983633
33,whitehorse,60.7161,-135.0538,4.45,75,12,4.92,CA,1683983634
34,tiksi,71.6872,128.8694,-12.89,90,100,3.15,RU,1683983634
35,hawaiian paradise park,19.5933,-154.9731,20.73,91,40,2.06,US,1683983634
36,sitka,57.0531,-135.33,8.94,93,100,2.06,US,1683983634
37,adamstown,-25.066,-130.1015,22.61,61,100,7.57,PN,1683983635
38,tazovsky,67.4667,78.7,-3.58,95,100,8.67,RU,1683983635
39,port lincoln,-34.7333,135.8667,15.89,75,100,3.24,AU,1683983481
40,la passe,45.5549,-0.8967,17.79,73,90,4.25,FR,1683983636
41,iqaluit,63.7506,-68.5145,-7.39,79,6,10.73,CA,1683983636
42,puerto natales,-51.7236,-72.4875,1.25,93,100,1.54,CL,1683983636
43,quesnel,52.9999,-122.5029,11.25,76,100,1.81,CA,1683983636
44,blackmans bay,-43.0167,147.3167,7.51,88,98,2.41,AU,1683983637
45,khandyga,62.6667,135.6,0.1,95,86,1.73,RU,1683983637
46,acara,-1.9608,-48.1967,27.51,87,47,0.61,BR,1683983637
47,haiku-pauwela,20.9219,-156.3051,21.13,82,0,1.54,US,1683983637
48,ambovombe,-25.1667,46.0833,24.72,64,0,4.39,MG,1683983638
49,st. john's,47.5649,-52.7093,12.66,37,11,5.48,CA,1683983638
50,qarqaraly,49.4058,75.4742,21.72,40,44,8.62,KZ,1683983639
51,papatowai,-46.5619,169.4708,7.57,81,100,2.86,NZ,1683983639
52,smara,26.7384,-11.6719,29.45,21,84,6.2,EH,1683983639
53,puerto ayora,-0.7393,-90.3518,26.98,100,98,3.58,EC,1683983639
54,albany,42.6001,-73.9662,19.58,53,100,2.02,US,1683983639
55,hermanus,-34.4187,19.2345,16.0,57,42,9.26,ZA,1683983640
56,hilo,19.7297,-155.09,22.38,90,40,2.24,US,1683983640
57,rapid valley,44.0625,-103.1463,12.26,88,100,11.83,US,1683983641
58,moranbah,-22.0016,148.0466,16.94,84,0,5.14,AU,1683983641
59,rudbar,30.15,62.6,36.85,8,0,8.01,AF,1683983642
60,klyuchi,52.2667,79.1667,15.39,25,100,7.14,RU,1683983642
61,edinburgh of the seven seas,-37.0676,-12.3116,18.36,94,81,11.33,SH,1683983642
62,vila velha,-20.3297,-40.2925,24.97,73,0,3.6,BR,1683983643
63,kalas,18.1667,74.8,37.76,18,25,7.66,IN,1683983643
64,la'ie,21.6477,-157.9253,22.98,85,31,2.87,US,1683983643
65,lazaro cardenas,17.9583,-102.2,26.04,73,76,1.3,MX,1683983531
66,heyuan,23.7333,114.6833,21.41,91,100,0.51,CN,1683983440
67,fale old settlement,-9.3852,-171.2468,28.62,78,23,6.03,TK,1683983644
68,thunder bay,48.4001,-89.3168,10.95,58,75,5.66,CA,1683983644
69,ust-nera,64.5667,143.2,-1.72,92,100,4.09,RU,1683983645
70,klaksvik,62.2266,-6.589,9.51,97,100,8.33,FO,1683983645
71,kinmparana,12.8402,-4.9199,38.78,25,80,2.3,ML,1683983645
72,kragujevac,44.0167,20.9167,17.16,61,100,5.51,RS,1683983646
73,sur,22.5667,59.5289,35.08,42,0,2.41,OM,1683983646
74,bredasdorp,-34.5322,20.0403,16.04,56,33,7.59,ZA,1683983646
75,langtoucun,40.0261,124.3286,11.44,93,2,1.57,CN,1683983646
76,westport,41.1415,-73.3579,23.63,57,75,1.34,US,1683983647
77,port elizabeth,-33.918,25.5701,15.61,95,75,5.14,ZA,1683983411
78,mount isa,-20.7333,139.5,19.87,49,5,2.57,AU,1683983647
79,moree,-29.4667,149.85,17.63,50,66,3.75,AU,1683983647
80,valley city,46.9233,-98.0032,15.29,100,100,4.12,US,1683983648
81,gadzhiyevo,69.2551,33.3362,5.13,99,100,4.5,RU,1683983648
82,nova sintra,14.8667,-24.7167,20.17,80,7,6.25,CV,1683983648
83,bubaque,11.2833,-15.8333,25.89,75,86,3.27,GW,1683983648
84,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1683983552
85,hamilton,39.1834,-84.5333,21.22,93,100,3.09,US,1683983649
86,bethel,41.3712,-73.414,22.93,55,0,2.06,US,1683983649
87,daru,-9.0763,143.2092,26.37,90,100,6.07,PG,1683983649
88,bermejillo,25.8833,-103.6167,22.02,41,0,2.4,MX,1683983649
89,ilulissat,69.2167,-51.1,-1.99,86,75,3.09,GL,1683983650
90,karlskrona,56.1616,15.5866,22.25,57,11,3.35,SE,1683983650
91,darnah,32.767,22.6367,21.92,50,63,3.9,LY,1683983650
92,atafu village,-8.5421,-172.5159,28.39,79,23,5.82,TK,1683983651
93,sinop,41.7711,34.8709,12.24,65,1,4.37,TR,1683983651
94,vadso,70.0744,29.7487,14.49,58,0,5.14,NO,1683983651
95,cidade velha,14.9167,-23.6167,27.26,65,40,4.12,CV,1683983652
96,sevastopol,44.6,33.5333,15.83,64,70,4.8,UA,1683983652
97,nago,26.5881,127.9761,24.14,88,100,4.86,JP,1683983494
98,saldanha,-33.0117,17.9442,17.89,50,0,8.9,ZA,1683983653
99,howrah,22.5892,88.3103,30.0,66,75,2.06,IN,1683983653
100,kita,13.0349,-9.4895,38.28,26,29,2.63,ML,1683983653
101,boguchany,58.3814,97.4531,0.25,52,100,3.98,RU,1683983653
102,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,69,5,4.09,RU,1683983541
103,hadibu,12.65,54.0333,30.65,69,44,1.62,YE,1683983532
104,colonia,50.9333,6.95,23.23,47,20,3.09,DE,1683983428
105,sinjai,-5.1241,120.253,25.03,87,43,1.99,ID,1683983654
106,jamestown,42.097,-79.2353,17.8,65,0,3.6,US,1683983654
107,kodiak,57.79,-152.4072,5.73,87,100,5.14,US,1683983655
108,thompson,55.7435,-97.8558,11.32,41,5,1.88,CA,1683983655
109,sisimiut,66.9395,-53.6735,-1.58,65,82,3.71,GL,1683983655
110,sydney mines,46.2367,-60.2177,11.21,96,100,3.58,CA,1683983656
111,susuman,62.7833,148.1667,-2.76,97,100,2.03,RU,1683983656
112,rabo de peixe,37.8,-25.5833,19.73,73,20,4.63,PT,1683983656
113,tchollire,8.4022,14.1698,36.29,31,100,3.13,CM,1683983657
114,praia da vitoria,38.7333,-27.0667,20.42,87,99,4.55,PT,1683983657
115,ad dawadimi,24.5077,44.3924,37.87,9,69,5.3,SA,1683983657
116,pariaman,-0.619,100.12,29.03,88,39,1.72,ID,1683983657
117,kirawsk,53.2686,29.4736,21.15,39,93,1.92,BY,1683983658
118,gorgan,36.8387,54.4348,24.98,57,75,6.17,IR,1683983658
119,polyarnyy,69.1989,33.4478,6.4,93,98,4.69,RU,1683983533
120,mahemdavad,22.8333,72.7667,42.14,12,0,4.85,IN,1683983658
121,grande prairie,55.1667,-118.8027,12.07,60,35,0.95,CA,1683983460
122,mar del plata,-38.0023,-57.5575,16.72,92,75,2.24,AR,1683983530
123,kuantan,3.8077,103.326,27.63,77,7,2.03,MY,1683983322
124,margaret river,-33.95,115.0667,14.26,73,34,4.13,AU,1683983659
125,lompoc,34.6391,-120.4579,12.1,97,100,0.45,US,1683983659
126,mahenge,-8.6833,36.7167,23.96,64,75,0.79,TZ,1683983660
127,wailua homesteads,22.0669,-159.378,19.3,87,40,3.6,US,1683983660
128,bilibino,68.0546,166.4372,-17.35,88,6,2.93,RU,1683983660
129,island harbour,50.724,-1.2758,18.88,71,6,3.13,GB,1683983660
130,mahdia,35.5047,11.0622,21.97,67,100,6.43,TN,1683983660
131,mhamid,29.82,-5.72,35.49,7,0,9.08,MA,1683983661
132,moscow,55.7522,37.6156,23.13,25,58,4.34,RU,1683983294
133,geraldton,-28.7667,114.6,13.23,88,0,2.06,AU,1683983497
134,mandasa,18.8667,84.4667,29.09,74,80,2.22,IN,1683983661
135,punta arenas,-53.15,-70.9167,4.06,75,75,6.17,CL,1683983603
136,new norfolk,-42.7826,147.0587,8.17,74,89,1.25,AU,1683983662
137,siwa oasis,29.2041,25.5195,29.99,21,99,3.06,EG,1683983662
138,georgetown,5.4112,100.3354,30.96,74,20,2.57,MY,1683983444
139,lihue,21.9789,-159.3672,19.64,89,40,3.6,US,1683983663
140,kalmunai,7.4167,81.8167,28.91,76,83,5.91,LK,1683983663
141,diu,20.7141,70.9822,32.92,48,0,10.16,IN,1683983372
142,enewetak,11.3474,162.3373,27.91,78,99,8.45,MH,1683983664
143,kimbe,-5.5502,150.1429,25.3,92,97,1.72,PG,1683983664
144,port alfred,-33.5906,26.891,15.1,93,100,2.88,ZA,1683983665
145,olonkinbyen,70.9221,-8.7187,1.05,95,100,6.49,SJ,1683983665
146,qaqortoq,60.7167,-46.0333,0.59,86,100,3.54,GL,1683983665
147,luderitz,-26.6481,15.1594,20.77,44,3,13.24,NA,1683983408
148,zhangye,38.9342,100.4517,22.2,12,96,2.94,CN,1683983666
149,udachny,66.4167,112.4,-0.86,68,100,6.27,RU,1683983667
150,zagorz,49.5146,22.2671,15.53,100,72,2.14,PL,1683983667
151,shingu,33.7333,135.9833,14.92,97,100,1.29,JP,1683983606
152,lebu,-37.6167,-73.65,13.1,91,100,4.13,CL,1683983667
153,somerset east,-32.7217,25.588,9.64,97,100,3.56,ZA,1683983667
154,utrik,11.2278,169.8474,27.28,81,11,7.57,MH,1683983667
155,quellon,-43.1167,-73.6167,15.14,94,100,3.6,CL,1683983668
156,feijo,-8.1642,-70.3536,24.95,83,98,2.01,BR,1683983668
157,callao,-12.0667,-77.15,23.16,73,100,4.63,PE,1683983668
158,constantia,44.1833,28.65,18.38,46,98,2.29,RO,1683983484
159,karratha,-20.7377,116.8463,23.84,51,64,2.81,AU,1683983669
160,okha,53.5739,142.9478,8.17,67,87,5.88,RU,1683983634
161,urzhar,47.093,81.6294,21.52,53,54,2.36,KZ,1683983448
162,novyy turtkul',41.55,61.0167,30.95,19,34,5.67,UZ,1683983649
163,robore,-18.3333,-59.75,22.15,50,100,1.63,BO,1683983669
164,greenville,35.6127,-77.3663,21.18,81,0,3.6,US,1683983670
165,barra de santo antonio,-9.4047,-35.5072,28.6,67,100,2.91,BR,1683983670
166,kudahuvadhoo,2.6708,72.8944,28.37,78,98,8.0,MV,1683983670
167,vysokaya gora,55.9128,49.3017,20.1,63,99,1.42,RU,1683983671
168,huilong,31.8111,121.655,19.26,74,100,4.75,CN,1683983671
169,naze,28.3667,129.4833,20.31,84,100,6.7,JP,1683983504
170,port hedland,-20.3167,118.5667,19.03,88,100,0.51,AU,1683983672
171,fort bragg,35.139,-79.006,22.68,77,0,4.12,US,1683983672
172,queenstown,-31.8976,26.8753,9.4,93,100,3.47,ZA,1683983672
173,port saint john's,-31.6229,29.5448,17.23,92,100,3.05,ZA,1683983673
174,pisco,-13.7,-76.2167,21.03,78,100,2.06,PE,1683983658
175,stornoway,58.2093,-6.3865,14.46,73,20,7.2,GB,1683983673
176,karaton,-6.3424,106.1045,25.09,93,15,0.91,ID,1683983673
177,plastun,44.7561,136.2939,7.26,81,13,1.3,RU,1683983673
178,obock,12.25,43.0833,31.49,45,11,6.47,DJ,1683983674
179,minas de marcona,-15.2119,-75.1103,16.17,76,13,1.87,PE,1683983675
180,vilyuchinsk,52.9306,158.4028,2.92,80,24,3.46,RU,1683983675
181,vorkuta,67.5,64.0,-0.61,87,100,7.55,RU,1683983571
182,jebrail,39.3992,47.0283,14.49,80,100,3.51,AZ,1683983676
183,middlesboro,36.6084,-83.7166,20.13,100,75,0.0,US,1683983676
184,jennings,38.7192,-90.2604,23.28,90,40,2.57,US,1683983676
185,harnosand,62.6323,17.9379,20.01,67,14,3.03,SE,1683983676
186,west island,-12.1568,96.8225,25.99,94,75,5.14,CC,1683983676
187,touros,-5.1989,-35.4608,29.65,64,82,3.2,BR,1683983677
188,kapit,2.0167,112.9333,24.28,99,100,0.77,MY,1683983677
189,ringsted,55.4426,11.7901,19.95,37,0,5.08,DK,1683983668
190,saudarkrokur,65.7461,-19.6394,8.78,52,100,2.67,IS,1683983678
191,kailua-kona,19.6406,-155.9956,22.98,88,20,3.09,US,1683983678
192,onega,63.9061,38.1404,9.5,64,37,3.65,RU,1683983678
193,praia,14.9215,-23.5087,27.3,65,40,4.12,CV,1683983679
194,happy valley-goose bay,53.3168,-60.3315,6.17,65,100,4.12,CA,1683983679
195,laguna,38.421,-121.4238,15.91,87,0,0.0,US,1683983679
196,kodinsk,58.6881,99.1844,-0.1,56,62,4.16,RU,1683983679
197,carnarvon,-24.8667,113.6333,21.59,68,41,9.81,AU,1683983680
198,porto velho,-8.7619,-63.9039,27.03,78,0,4.12,BR,1683983672
199,tolanaro,-25.0319,46.9987,24.84,70,0,1.34,MG,1683983680
200,port mathurin,-19.6833,63.4167,25.8,74,5,8.28,MU,1683983680
201,massaguet,12.4755,15.4365,41.37,16,56,2.17,TD,1683983680
202,ylitornio,66.3089,23.6773,15.79,47,2,4.75,FI,1683983681
203,arquitecto tomas romero pereira,-26.4833,-55.25,15.97,60,0,1.22,PY,1683983681
204,katsuura,35.1333,140.3,17.01,65,100,6.02,JP,1683983681
205,tazacorte,28.629,-17.9293,22.86,70,75,7.72,ES,1683983681
206,kamensk-ural'skiy,56.4185,61.9329,13.99,35,91,2.97,RU,1683983682
207,nagqu,31.5,92.0,0.88,36,58,3.98,CN,1683983682
208,wang saphung,17.301,101.7685,25.01,91,100,1.43,TH,1683983682
209,mejit,10.2753,170.8646,27.53,81,100,7.51,MH,1683983682
210,san luis de la loma,17.2706,-100.8939,26.67,77,10,1.14,MX,1683983682
211,nea kallikrateia,40.3167,23.0667,21.4,66,100,5.45,GR,1683983683
212,tindouf,27.6711,-8.1474,33.96,9,13,11.15,DZ,1683983683
213,heroica caborca,30.7167,-112.15,19.52,33,0,0.91,MX,1683983684
214,khonsa,27.0167,95.5667,20.68,65,100,2.56,IN,1683983684
215,nili,33.7218,66.1302,22.37,17,54,5.51,AF,1683983684
216,misratah,32.3754,15.0925,32.67,25,62,10.59,LY,1683983684
217,fisterra,42.9049,-9.2629,19.86,73,2,10.01,ES,1683983684
218,rancho palos verdes,33.7445,-118.387,15.63,93,55,0.89,US,1683983685
219,nuuk,64.1835,-51.7216,0.34,74,100,3.09,GL,1683983452
220,aasiaat,68.7098,-52.8699,-3.0,81,99,3.99,GL,1683983685
221,kelibia,36.8476,11.0939,21.49,74,100,3.06,TN,1683983686
222,antalaha,-14.9003,50.2788,27.18,72,5,3.66,MG,1683983686
223,basco,20.4487,121.9702,26.36,74,38,2.76,PH,1683983687
224,temerluh,3.4506,102.4176,29.43,87,69,0.89,MY,1683983687
225,port-vila,-17.7338,168.3219,25.18,81,93,8.94,VU,1683983687
226,saint-leu,-21.15,55.2833,27.48,89,20,1.21,RE,1683983687
227,canutama,-6.5339,-64.3831,27.9,71,7,1.04,BR,1683983687
228,poronaysk,49.2167,143.1167,9.19,50,9,4.64,RU,1683983688
229,alice springs,-23.7,133.8833,9.75,46,0,3.59,AU,1683983472
230,floro,61.5996,5.0328,20.13,87,100,4.63,NO,1683983688
231,broome,42.2506,-75.833,19.64,55,0,4.63,US,1683983688
232,bardai,11.65,7.2333,38.91,11,100,4.73,NG,1683983689
233,nemuro,43.3236,145.575,6.14,84,96,4.57,JP,1683983689
234,altinyayla,39.2725,36.751,11.19,79,99,4.09,TR,1683983689
235,taro,-8.3862,115.28,24.0,88,99,1.66,ID,1683983689
236,oliver,49.1831,-119.5524,14.84,62,14,0.81,CA,1683983690
237,carutapera,-1.195,-46.02,29.75,66,50,1.1,BR,1683983690
238,kavala,40.9397,24.4019,18.31,70,20,3.09,GR,1683983690
239,leavenworth,39.2333,-95.0336,21.75,80,96,2.98,US,1683983691
240,chonchi,-42.6128,-73.8092,13.95,95,100,2.57,CL,1683983692
241,tura,25.5198,90.2201,27.1,43,100,1.83,IN,1683983401
242,shimanovsk,52.0,127.7,8.1,40,18,1.65,RU,1683983566
243,comodoro rivadavia,-45.8667,-67.5,11.92,62,40,4.12,AR,1683983693
244,shanghai,31.2222,121.4581,22.92,69,0,3.0,CN,1683983305
245,deir ez-zor,35.3359,40.1408,29.75,24,0,9.54,SY,1683983693
246,vernon,50.2581,-119.2691,12.47,65,32,0.89,CA,1683983693
247,macenta,8.5435,-9.471,33.6,41,100,1.66,GN,1683983694
248,ankazoabo,-22.2833,44.5167,28.8,39,2,0.49,MG,1683983694
249,tadine,-21.55,167.8833,23.33,71,100,9.36,NC,1683983694
250,northam,51.0333,-4.2167,18.47,78,6,2.73,GB,1683983694
251,altai,46.3722,96.2583,12.41,29,52,6.34,MN,1683983695
252,roanoke rapids,36.4615,-77.6542,21.49,72,96,4.59,US,1683983695
253,bangkalan,-7.0455,112.7351,26.97,78,94,3.82,ID,1683983696
254,vila franca do campo,37.7167,-25.4333,20.23,67,19,3.31,PT,1683983696
255,manay,7.215,126.5397,26.97,88,80,1.93,PH,1683983696
256,al jadid,27.05,14.4,35.04,11,6,5.26,LY,1683983696
257,huanimaro,20.3667,-101.5,17.82,52,98,0.27,MX,1683983697
258,blackpool,53.8167,-3.05,21.3,72,0,5.14,GB,1683983451
259,taft,31.7471,54.2088,33.97,7,20,4.12,IR,1683983697
260,villamontes,-21.25,-63.5,21.62,60,0,0.69,BO,1683983698
261,nabire,-3.3667,135.4833,26.15,88,100,0.89,ID,1683983699
262,camarinas,43.1311,-9.1817,19.96,72,5,8.08,ES,1683983699
263,mega,4.05,38.3,18.95,73,99,3.89,ET,1683983699
264,collie,-33.3667,116.15,9.4,92,0,1.55,AU,1683983700
265,hualien city,23.9769,121.6044,23.28,93,100,3.01,TW,1683983637
266,watsa,3.0372,29.5355,31.81,37,100,2.56,CD,1683983700
267,chibougamau,49.9168,-74.3659,-0.21,80,100,6.17,CA,1683983700
268,ar rutbah,33.0381,40.2848,28.45,20,0,7.93,IQ,1683983701
269,tamanrasset,22.785,5.5228,31.95,18,1,8.75,DZ,1683983697
270,margherita,27.2833,95.6833,26.45,48,100,1.95,IN,1683983702
271,berber,18.0216,33.983,43.96,4,9,6.64,SD,1683983704
272,porto uniao,-26.2381,-51.0783,11.02,80,100,0.64,BR,1683983704
273,north bend,43.4065,-124.2243,12.31,98,100,2.57,US,1683983705
274,ta`u,-14.2336,-169.5144,27.52,78,24,3.86,AS,1683983705
275,contamana,-7.3333,-75.0167,22.6,97,100,1.27,PE,1683983705
276,berezovyy,51.6667,135.7,13.58,66,81,2.3,RU,1683983705
277,nosy varika,-20.5833,48.5333,26.38,75,14,3.1,MG,1683983706
278,peace river,56.2501,-117.286,14.25,66,61,2.74,CA,1683983706
279,dakhla,23.6848,-15.958,20.28,76,52,8.86,EH,1683983706
280,la foa,-21.7108,165.8276,22.39,78,100,1.87,NC,1683983706
281,owando,-0.4819,15.8999,35.28,39,45,0.92,CG,1683983707
282,toliara,-23.35,43.6667,26.26,65,0,5.62,MG,1683983707
283,mahajanga,-15.7167,46.3167,29.34,58,2,3.21,MG,1683983707
284,puerto penasco,31.3167,-113.5333,21.33,67,0,4.06,MX,1683983524
285,acarau,-2.8856,-40.12,28.05,77,62,4.87,BR,1683983708
286,ketchikan,55.3422,-131.6461,11.26,93,100,3.6,US,1683983617
287,zaria,11.1113,7.7227,39.53,11,94,5.09,NG,1683983709
288,smithers,54.7804,-127.1743,10.18,62,100,0.0,CA,1683983709
289,opuwo,-18.0607,13.84,31.68,16,6,3.41,NA,1683983710
290,santiago,-33.4569,-70.6483,22.94,56,0,0.51,CL,1683983555
291,seguela,7.9611,-6.6731,35.81,37,81,2.83,CI,1683983710
292,wanganui,-39.9333,175.05,8.73,92,2,2.32,NZ,1683983602
293,fenghuang,27.9356,109.5996,18.43,83,100,1.6,CN,1683983711
294,at-bashi,41.1702,75.8106,16.69,41,100,2.03,KG,1683983711
